学年,漢字,変更前読み種類,変更前対象の読み,変更前問題文,変更前全文ひらがな,修正区分,変更後読み種類,変更後対象の読み,変更後問題文,変更後全文ひらがな
1,十,訓読み,とお,十こかう,とおこかう,変更,訓読み,とお,十日かかる,とうかかかる
3,研,訓読み,とぐ,この文章には「研」が使われている。,このぶんしょうには「とぐ」がつかわれている。,変更,訓読み,とぐ,包丁を研ぐ,ほうちょうをとぐ
3,所,訓読み,ところ,安全や所,あんぜんやところ,変更,訓読み,ところ,安全な所,あんぜんなところ
3,悪,音読み,アク,悪口をいう,あくくちをいう,変更,音読み,アク,悪魔がやってきた,あくまがやってきた
2,新,音読み,シン,新しい年がはじまる,しんしいねんがはじまる,変更,音読み,シン,しんねんがはじまる,しんねんがはじまる
2,寺,訓読み,てら,毎日「寺」の練習をする。,まいにち「てら」のれんしゅうをする。,変更,訓読み,てら,寺に泊まる,てらにとまる
2,岩,訓読み,いわ,この文章には「岩」が使われている。,このぶんしょうには「いわ」がつかわれている。,変更,訓読み,いわ,岩は固い,いわはかたい
2,帰,訓読み,かえる,この文章には「帰」が使われている。,このぶんしょうには「かえる」がつかわれている。,変更,訓読み,かえる,家に帰る,いえにかえる
2,帰,訓読み,かえす,辞書で「帰」の意味を調べる。,じかで「かえす」のいみをしらべる。,変更,訓読み,かえす,自宅に帰す,じたくにかえす
2,帰,訓読み,おくる,辞書で「帰」の意味を調べる。,じかで「おくる」のいみをしらべる。,削除,訓読み,おくる,辞書で「帰」の意味を調べる。,じかで「おくる」のいみをしらべる。
2,帰,訓読み,とつぐ,毎日「帰」の練習をする。,まいにち「とつぐ」のれんしゅうをする。,削除,訓読み,とつぐ,毎日「帰」の練習をする。,まいにち「とつぐ」のれんしゅうをする。
2,春,訓読み,はる,みんなで「春」という言葉を覚える。,みんなで「はる」といういはをかくえる。,変更,訓読み,はる,春の日はあたたかい,はるのひはあたたかい
2,昼,訓読み,ひる,みんなで「昼」という言葉を覚える。,みんなで「ひる」といういはをかくえる。,変更,訓読み,ひる,昼飯を食べる,ひるめしをたべる
2,晴,訓読み,はれる,みんなで「晴」という言葉を覚える。,みんなで「はれる」といういはをかくえる。,削除,訓読み,はれる,みんなで「晴」という言葉を覚える。,みんなで「はれる」といういはをかくえる。
2,晴,訓読み,はれ,みんなで「晴」という言葉を覚える。,みんなで「はれ」といういはをかくえる。,削除,訓読み,はれ,みんなで「晴」という言葉を覚える。,みんなで「はれ」といういはをかくえる。
2,晴,訓読み,ばれ,辞書で「晴」の意味を調べる。,じかで「ばれ」のいみをしらべる。,変更,訓読み,ばれ,今日は晴れた,きょうははれた
2,晴,訓読み,はらす,みんなで「晴」という言葉を覚える。,みんなで「はらす」といういはをかくえる。,削除,訓読み,はらす,みんなで「晴」という言葉を覚える。,みんなで「はらす」といういはをかくえる。
2,計,訓読み,はかる,みんなで「計」という言葉を覚える。,みんなで「はかる」といういはをかくえる。,変更,訓読み,はかる,水量を計る,すいりょうをはかる
2,計,訓読み,はからう,みんなで「計」という言葉を覚える。,みんなで「はからう」といういはをかくえる。,削除,訓読み,はからう,みんなで「計」という言葉を覚える。,みんなで「はからう」といういはをかくえる。
3,坂,音読み,ハン,急な坂道をのぼる,いそなはんみちをのぼる,削除,音読み,ハン,急な坂道をのぼる,いそなはんみちをのぼる
3,坂,訓読み,さか,上り坂,のぼりざか,変更,訓読み,さか,坂道をのぼる,さかみちをのぼる
4,浅,音読み,セン,浅海,せんうみ,削除,音読み,セン,浅海,せんうみ
4,英,訓読み,はな,英がさく,はながさく,削除,訓読み,はな,英がさく,はながさく
2,園,訓読み,その,みんなで「園」という言葉を覚える。,みんなで「その」といういはをかくえる。,変更,訓読み,ぞの,秘密の花園,ひみつのはなぞの
2,書,訓読み,かく,みんなで「書」という言葉を覚える。,みんなで「かく」といういはをかくえる。,変更,訓読み,かく,漢字を書く,かんじをかく
2,書,訓読み,がき,この文章には「書」が使われている。,このぶんしょうには「がき」がつかわれている。,変更,訓読み,がき,落書き禁止,らくがききんし
2,遠,訓読み,とおい,毎日「遠」の練習をする。,まいにち「とおい」のれんしゅうをする。,変更,訓読み,とおい,遠い未来,とおいみらい
2,門,訓読み,かど,この文章には「門」が使われている。,このぶんしょうには「かど」がつかわれている。,変更,訓読み,かど,門出を祝う,かどでをいわう
2,門,訓読み,と,毎日「門」の練習をする。,まいにち「と」のれんしゅうをする。,変更,訓読み,と,鳴門海峡,なるとかいきょう
2,原,訓読み,はら,みんなで「原」という言葉を覚える。,みんなで「はら」といういはをかくえる。,変更,訓読み,はら,野原で遊ぶ,のはらであそぶ
2,細,訓読み,ほそい,この文章には「細」が使われている。,このぶんしょうには「ほそい」がつかわれている。,変更,訓読み,ほそ,細い道,ほそいみち
2,細,訓読み,ほそる,みんなで「細」という言葉を覚える。,みんなで「ほそる」といういはをかくえる。,削除,訓読み,ほそる,みんなで「細」という言葉を覚える。,みんなで「ほそる」といういはをかくえる。
2,細,訓読み,こまか,この文章には「細」が使われている。,このぶんしょうには「こまか」がつかわれている。,変更,訓読み,こまか,細かい作業,こまかいさぎょう
2,細,訓読み,こまかい,毎日「細」の練習をする。,まいにち「こまかい」のれんしゅうをする。,削除,訓読み,こまかい,毎日「細」の練習をする。,まいにち「こまかい」のれんしゅうをする。
3,薬,音読み,ヤク,薬局,やっきょく,変更,音読み,ヤク,薬剤師,やくざいし
4,梅,音読み,バイ,梅雨,つゆ,変更,音読み,バイ,梅雨前線,ばいうぜんせん
6,警,音読み,ケイ,警察官,けいさつかん,削除,音読み,ケイ,警察官,けいさつかん
2,弓,訓読み,ゆみ,辞書で「弓」の意味を調べる。,じかで「ゆみ」のいみをしらべる。,変更,訓読み,ゆみ,弓矢を引く,ゆみやをひく
3,等,音読み,トウ,平等,びょうどう,変更,音読み,どう,平等,びょうどう
4,借,音読み,シャク,借金,しゃっきん,変更,音読み,しゃっ,借金,しゃっきん
6,若,音読み,ジャク,若干名,じゃっかんめい,変更,音読み,じゃっ,若干名,じゃっかんめい
5,在,訓読み,あ,神は在る,かみはある,変更,訓読み,あ,お金の在りか,おかねのありか
5,過,訓読み,す,通り過ぎぎる,とおりすぎぎる,変更,訓読み,す,通り過ぎる,とおりすぎる
4,帯,訓読み,お,熱をおびる,ねつをおびる,変更,訓読み,お,熱を帯びる,ねつをおびる
5,桜,音読み,オウ,桜前線,さくらぜんせん,変更,音読み,オウ,桜花爛漫のころ,おうからんまんのころ
6,宣,音読み,セン,宣伝カー,せんでんかー,削除,音読み,セン,宣伝カー,せんでんかー
6,孝,音読み,コウ,親不孝,こやふこう,削除,音読み,コウ,親不孝,こやふこう
6,絹,音読み,ケン,絹糸を使う,きぬいとをつかう,削除,音読み,ケン,絹糸を使う,きぬいとをつかう
